기간,자치구,합계,합계,합계,합계,승용차,승용차,승용차,승용차,승합차,승합차,승합차,승합차,화물차,화물차,화물차,화물차,특수차,특수차,특수차,특수차,이륜차,이륜차,이륜차
기간,자치구,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용,영업용,소계,관용,자가용
2016.05,중랑구,111358,190,101664,9504,89416,42,83329,6045,5752,32,5193,527,15851,100,13081,2670,339,16,61,262,24439,100,24339
2016.05,성북구,116910,230,111168,5512,98945,69,96211,2665,6246,32,5098,1116,11606,119,9832,1655,113,10,27,76,26467,164,26303
2016.05,강북구,76316,279,71190,4847,62056,81,59200,2775,4626,47,3802,777,9505,134,8151,1220,129,17,37,75,21874,76,21798
2016.05,도봉구,96643,236,88676,7731,80791,58,75291,5442,4601,40,4120,441,11067,132,9224,1711,184,6,41,137,14668,154,14514
2016.05,노원구,155897,255,145879,9763,134363,53,127802,6508,6941,48,5971,922,14303,145,12051,2107,290,9,55,226,15384,94,15290
2016.05,은평구,127234,226,120125,6883,106706,64,102603,4039,6335,35,5511,789,13972,118,11967,1887,221,9,44,168,21237,142,21095
2016.05,서대문구,84165,409,78686,5070,71147,161,68218,2768,4008,76,3542,390,8868,161,6891,1816,142,11,35,96,14959,167,14792
2016.05,마포구,117248,281,109517,7450,98598,65,94495,4038,5203,46,4433,724,13117,154,10495,2468,330,16,94,220,17677,178,17499
2016.05,양천구,150120,306,140754,9060,126532,110,121521,4901,6553,50,5395,1108,16539,137,13741,2661,496,9,97,390,17750,141,17609
2016.05,강서구,192572,294,177437,14841,161972,82,151603,10287,8747,39,7244,1464,21541,162,18489,2890,312,11,101,200,18508,161,18347
2016.05,구로구,139942,232,128514,11196,114689,56,107090,7543,7141,50,6185,906,17856,117,15138,2601,256,9,101,146,16486,57,16429
2016.05,금천구,83511,123,75839,7549,65186,24,60559,4603,4704,11,4221,472,13488,86,11013,2389,133,2,46,85,11841,196,11645
2016.05,영등포구,148288,299,137808,10181,120090,91,115189,4810,6443,40,5951,452,20658,153,16212,4293,1097,15,456,626,16889,227,16662
2016.05,동작구,103101,275,100029,2797,89517,74,88230,1213,3996,47,3833,116,9194,140,7884,1170,394,14,82,298,15314,214,15100
2016.05,관악구,121718,271,115627,5820,102500,63,99063,3374,5673,35,5348,290,13324,163,11180,1981,221,10,36,175,24784,285,24499
2016.05,서초구,179154,596,168239,10319,155101,258,150517,4326,6140,150,5148,842,17591,173,12438,4980,322,15,136,171,14510,277,14233
2016.05,강남구,243014,358,223276,19380,214356,109,198415,15832,7481,50,6525,906,20822,181,18179,2462,355,18,157,180,17334,348,16986
2016.05,송파구,219784,343,207716,11725,187619,95,181463,6061,8448,90,6709,1649,23409,150,19453,3806,308,8,91,209,18613,239,18374
2016.05,강동구,137169,219,128485,8465,114826,53,109405,5368,5918,33,5182,703,16151,128,13852,2171,274,5,46,223,16802,150,16652
2016.05,기타,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,-,13
2016.06,서울시,3079041,11286,2871808,195947,2587394,4015,2464863,118516,138491,3153,118528,16810,346071,3778,286368,55925,7085,340,2049,4696,454437,4733,449704
2016.06,종로구,49645,3624,44414,1607,39641,1769,37409,463,4131,1409,2386,336,5696,364,4593,739,177,82,26,69,13478,327,13151
2016.06,중구,52434,1041,47524,3869,41089,250,39005,1834,3765,591,2789,385,7411,185,5667,1559,169,15,63,91,15043,250,14793
