순위,회사명,15년 매출액,14년 매출액,증감율(%),기업형태,위치
327,장금상선(주),"916,434","851,675",8,외감,
328,(주)녹십자,"912,911","854,258",7,유가,
329,삼남석유화학(주),"906,665","1,284,144",-29,외감,
330,(주)신세계푸드,"901,318","652,135",38,유가,
331,아디다스코리아(주),"897,432","848,550",6,외감,
332,폴리미래(주),"897,326","962,562",-7,외감,
333,씨제이씨지브이(주),"896,777","864,502",4,유가,
334,삼성전자로지텍(주),"895,837","984,911",-9,외감,
335,(주)삼호,"892,871","860,851",4,유가,
336,(주)현대홈쇼핑,"890,761","867,892",3,유가,
337,엠피씨율촌전력(주),"887,004","1,079,641",-18,외감,
338,(주)신세계인터내셔날,"884,541","846,193",5,유가,
339,지멘스(주),"881,310","851,476",4,외감,
340,넷마블게임즈(주),"878,658","160,617",447,외감,
341,백제약품(주),"878,405","745,563",18,외감,
342,대성에너지(주),"875,355","1,066,912",-18,유가,
343,(주)팜스코,"875,142","839,533",4,유가,
344,S&T모티브(주),"874,269","781,588",12,유가,
345,(주)다스,"873,696","823,808",6,외감,
346,(주)카카오,"862,085","487,805",77,코스,
347,(주)에브리데이리테일,"859,412","774,330",11,외감,
348,한국옵티칼하이테크(주),"854,895","854,196",0,외감,
349,(주)우리홈쇼핑,"854,483","869,241",-2,외감,
350,대한제강(주),"854,402","1,025,981",-17,유가,
351,(주)케이티엠앤에스,"852,778","885,386",-4,외감,
352,(주)문화방송,"849,818","802,440",6,외감,
353,(주)카길애그리퓨리나,"847,161","852,476",-1,외감,
354,머크어드밴스드테크놀러지스(주),"842,433","687,060",23,외감,
355,금호피앤비화학(주),"839,346","1,108,420",-24,외감,
356,한국프랜지공업(주),"833,341","710,988",17,유가,
357,신성통상(주),"826,346","745,408",11,유가,
358,엘지엔시스(주),"824,028","803,161",3,외감,
359,(주)넥슨코리아,"822,166","739,496",11,외감,
360,(주)제일기획,"819,850","882,393",-7,유가,
361,한국아이비엠(주),"819,655","1,054,382",-22,외감,
362,케이에이치에너지(주),"818,472","920,956",-11,외감,
363,덕양산업(주),"815,922","811,901",1,유가,
364,(주)반도건설,"811,557","612,199",33,외감,
365,한국필립모리스(주),"810,871","703,027",15,외감,
366,한국스티롤루션(주),"809,497","1,001,002",-19,외감,
367,아이비케이연금보험(주),"807,777","639,273",26,외감,
368,(주)삼우,"805,134","839,531",-4,외감,
369,(주)포스코아이씨티,"804,863","921,524",-13,코스,
