기간,자치구,총이동,총이동,총이동,총이동,총이동,총이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도내이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,시ㆍ도간이동,순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),구간이동,구간이동,구간이동,구간이동,구간이동,구간이동,전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,총전입(①+②+④),총전입(①+②+④),총전입(①+②+④),총전출(①+③+⑤),총전출(①+③+⑤),총전출(①+③+⑤),구내이동(①),구내이동(①),구내이동(①),전입(②),전입(②),전입(②),전출(③),전출(③),전출(③),전입(④),전입(④),전입(④),전출(⑤),전출(⑤),전출(⑤),순이동,순이동,순이동
기간,자치구,소계,남자,여자,소계,남자,여자,소계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
2016.05,양천구,5394,2659,2735,6030,2993,3037,2164,1056,1108,2023,1014,1009,1979,952,1027,1207,589,618,1887,985,902,-636,-334,-302
2016.05,강서구,7548,3642,3906,7539,3718,3821,2686,1266,1420,2618,1280,1338,2154,1061,1093,2244,1096,1148,2699,1391,1308,9,-76,85
2016.05,구로구,4634,2255,2379,4909,2423,2486,1338,637,701,1678,817,861,1488,727,761,1618,801,817,2083,1059,1024,-275,-168,-107
2016.05,금천구,2848,1465,1383,3043,1577,1466,1005,498,507,920,461,459,776,409,367,923,506,417,1262,670,592,-195,-112,-83
2016.05,영등포구,4838,2487,2351,5422,2756,2666,1536,785,751,1776,919,857,2113,1043,1070,1526,783,743,1773,928,845,-584,-269,-315
2016.05,동작구,5292,2588,2704,5246,2610,2636,1348,651,697,2348,1134,1214,2123,1041,1082,1596,803,793,1775,918,857,46,-22,68
2016.05,관악구,7631,3997,3634,7969,4137,3832,2481,1273,1208,2347,1196,1151,2704,1402,1302,2803,1528,1275,2784,1462,1322,-338,-140,-198
2016.05,서초구,4979,2356,2623,5536,2664,2872,1292,569,723,2201,1051,1150,2396,1154,1242,1486,736,750,1848,941,907,-557,-308,-249
2016.05,강남구,7392,3556,3836,8718,4253,4465,2475,1172,1303,2598,1261,1337,3212,1582,1630,2319,1123,1196,3031,1499,1532,-1326,-697,-629
2016.05,송파구,7781,3807,3974,8808,4373,4435,2951,1425,1526,2609,1262,1347,2205,1090,1115,2221,1120,1101,3652,1858,1794,-1027,-566,-461
2016.05,강동구,5939,3003,2936,7891,3987,3904,3063,1522,1541,1514,764,750,1535,742,793,1362,717,645,3293,1723,1570,-1952,-984,-968
2016.06,서울특별시,119398,58946,60452,131462,65283,66179,39891,19448,20443,45649,22481,23168,45649,22481,23168,33858,17017,16841,45922,23354,22568,-12064,-6337,-5727
2016.06,종로구,1819,906,913,2199,1124,1075,365,177,188,909,465,444,1142,570,572,545,264,281,692,377,315,-380,-218,-162
2016.06,중구,1533,767,766,1740,888,852,310,153,157,806,405,401,974,480,494,417,209,208,456,255,201,-207,-121,-86
2016.06,용산구,2709,1354,1355,3019,1502,1517,643,326,317,1220,597,623,1370,665,705,846,431,415,1006,511,495,-310,-148,-162
