성북22,107900009,12,300,5
5517,100100254,10,240,1320
500,100100076,10,240,1380
100,100100549,10,240,1320
105,100100010,12,240,1320
1014,100100129,8,300,1380
관악11,114900004,15,300,1380
7018,100100338,12,240,1380
8772,100100525,13,480,1080
6654,100100322,13,300,1380
8774,100100387,23,360,1200
5511,100100250,6,300,1380
1130,100100146,7,300,0
서초14,121900010,8,360,1380
6611,100100295,14,300,0
2234,100100205,11,300,1380
강북11,108900001,8,245,0
서대문04,112900011,12,360,0
707,100100511,12,240,0
5615,100100272,9,240,1380
8551,108000001,11,420,540
3319,100100501,15,240,1380
6647,100100320,8,300,1380
동작12,119900021,6,360,1380
1115,100100566,7,300,0
2230,100100203,8,240,1325
관악05,120900010,6,360,3
서대문03,112900004,5,305,0
마포01,102900001,8,360,0
1218,100100177,11,240,1320
서대문05,112900009,7,360,1385
종로08,100900005,6,300,1380
407,100100461,10,240,1380
노원14,109900011,6,300,0
은평05,111900005,7,360,1380
동작19,119900008,10,360,1385
1113,100100133,13,300,1380
5515,100100252,5,300,1380
성북14-1,107900010,12,300,6
도봉01,109900001,10,360,5
성동06,103900007,20,420,1320
603,100100088,10,240,1380
N26,100100586,35,0,180
9707,100100400,10,300,60
동대문02,105900002,9,360,1380
동작02,119900013,12,360,1380
142,100100021,10,240,1325
3412,100100224,12,180,1320
종로12,100900009,6,360,1380
3214,100100213,12,240,1380
영등포09,116900017,7,360,0
서대문14,112900008,7,360,0
1711,100100185,6,240,1380
6624,100100302,7,300,1380
6411,100100290,12,240,1320
5513,100100251,11,300,1380
462,100100458,10,240,0
7711,100100348,13,240,0
관악03,120900003,7,300,0
643,100100096,6,240,1320
3315,100100221,6,240,1380
750B,100100565,10,240,1380
146,100100025,10,245,1380
서초15,121900012,9,365,1380
640,100100093,8,240,1380
1156,100100166,11,240,1380
145,100100024,6,240,1380
관악10,120900002,6,300,1380
5623,100100279,8,240,1320
1164,100100171,6,300,1380
670,100100436,7,240,1380
성북06,107900012,15,300,1380
서초18-1,121900015,20,360,1320
606,100100091,12,240,1380
202,100100039,7,240,1320
1144,100100159,8,240,1380
광진01,104900005,12,360,1385
7011,100100450,8,240,1380
5620,100100277,6,240,1380
서대문08,100900012,12,360,0
2014,100100189,5,240,1380
노원13,110900008,18,305,0
