구이름,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
중구,4704,3250,6,82,2,2,0,0,98,4,3262,2762,5485,18911,10463,52008,17281,182676,22105,107113,25104,69293,29448,56857,35150,53649,41967,56354,48371,53002,56517,43764,67514,40165,88538,41699,146723,44556,90002,31236,61471,18682,60458,16938,49573,15749,26970,11792
강남구,257,1034,0,0,0,0,0,0,19,0,1024,983,1776,9600,3262,34976,5061,107076,4533,66979,4861,26290,6253,18604,7200,18379,8260,19785,9014,16699,10152,15512,15571,15437,20567,18292,45452,21057,22451,15239,14551,7536,13632,5821,12061,5038,4189,4157
구로구,3639,14786,3,39,0,0,0,0,323,10,39336,6121,51953,20152,136178,64292,175234,225491,115645,134852,79504,60962,72355,54598,76868,55037,77647,67110,70689,73254,71461,76453,80267,84583,105148,110621,202757,154140,131029,145036,78973,97520,68333,99322,53647,101921,27392,66521
영등포구,983,7801,3,96,0,0,0,0,493,7,34287,3730,32421,12933,73417,23306,98823,59860,75522,41731,50635,40339,44870,43729,45954,42664,46807,43274,42538,43403,42423,49426,46102,56489,52257,74682,66479,83307,40511,71576,30788,50256,25007,60596,18491,63160,9258,33395
구로구,2927,29726,11,3055,0,0,0,0,2643,19,38927,5791,52573,23505,134439,44932,141155,112372,98767,84292,74220,77735,73331,74669,84805,85265,91837,90322,90618,85540,92331,93015,100019,104732,113863,124406,143197,174636,102864,157499,86084,96883,87366,87579,67138,90717,29397,70316
영등포구,1062,3648,1,54,0,0,0,0,17,1,3919,1900,12581,10433,38554,27929,40360,94653,26245,42222,21389,21586,21732,20917,23877,22413,25208,23193,24258,23281,25610,22680,28340,24691,37556,27685,76025,39583,35849,37099,22279,22827,21352,20377,16617,19176,7605,13211
영등포구,1271,4865,1,85,0,0,0,0,56,7,6032,3064,13248,12786,37484,32076,42165,95207,30633,47075,24688,25628,26092,23804,27066,25232,29200,27391,28199,26956,30154,27549,32171,29074,44097,33708,81930,46793,38167,39961,28086,24554,26348,22005,20571,22280,9537,15674
영등포구,1356,6409,0,83,0,0,0,0,37,2,6913,4164,15911,13565,47357,28685,57164,75836,40770,38971,30197,23365,29075,23329,29540,24709,29512,28172,26802,27994,27597,30505,31055,36080,41000,44275,60322,63783,37412,56998,23703,39145,22635,37779,19158,37521,9737,25442
마포구,4912,7788,1,59,0,0,0,0,104,2,10388,3889,17913,17064,44378,34411,54068,83801,38494,69353,30777,45658,33549,44607,36550,49884,40976,58125,40569,55083,44359,56221,51401,61648,65019,73277,97959,103194,73630,87981,59801,49940,70526,39348,70644,35369,39272,25049
마포구,12384,21700,6,2206,0,0,0,0,2118,37,45302,4320,42177,22568,70206,36223,86430,99191,68833,118159,61482,98588,66494,112242,75150,146411,90308,174974,99470,172322,120667,173282,147792,183005,175995,207734,209876,256611,175080,222428,170154,131072,207937,102742,228029,87340,127653,63883
마포구,7360,8628,1,53,0,0,0,0,138,0,11351,3782,17219,16330,37527,35949,53986,88155,42777,109962,43077,78653,51464,75429,63848,82597,74477,90846,74438,82162,82897,79001,93963,82997,112338,101211,120942,135168,90891,110049,94680,60488,100079,50317,110153,44560,57636,31990
마포구,883,3697,0,29,0,0,0,0,20,1,3491,1228,6757,7932,17016,19292,24282,44920,18914,60705,17362,51810,21761,40268,33868,45737,36325,46434,34778,37940,42992,35517,53025,35373,59640,37520,56732,41404,38167,32683,32037,19523,36854,17652,28435,17209,10187,13231
마포구,417,3050,0,0,0,0,0,0,30,1,4864,644,9973,4322,24575,12559,34150,21462,22379,13330,17903,12542,16898,10487,18015,12414,18233,14204,16241,13820,16271,15225,20811,17581,19112,21343,20687,27764,12921,24400,9399,17219,8032,16773,6591,16575,2950,12069
서대문구,538,2244,0,28,0,0,0,0,26,3,3610,1181,7480,6547,16908,20533,23299,60807,15975,33168,13324,14013,14523,12456,15389,12311,15826,14618,14807,13397,15536,13904,18411,15232,21836,17566,50146,23018,20905,18976,12765,12837,12397,12446,9732,11926,4028,8564
성동구,85,811,0,2,0,0,0,0,10,1,2366,219,3178,1134,8381,1475,12651,3549,6563,4079,4784,3111,4234,2896,4436,2958,4681,3435,3933,3388,3811,4334,4746,5728,4415,6598,3744,9433,2451,7494,1745,4981,1546,5906,1083,5526,529,3703
중구,2227,3283,2,91,0,0,0,0,30,1,1598,1502,4406,16100,7135,53488,14269,130548,28582,93860,36683,73406,40518,83717,43691,94989,54091,100064,65873,93913,79938,92984,96431,92956,109351,98103,153319,88511,113768,67528,99678,43323,105001,30708,95677,20020,40329,12286
용산구,753,5125,1,438,0,0,0,0,221,5,5091,1056,6675,18118,11495,32843,15338,84006,14411,42858,13985,27652,15358,27815,16952,31571,17346,32443,16182,33414,18375,36914,20616,39464,30097,44067,63799,43833,28097,36814,19225,27206,17397,25865,13088,22034,6567,14712
